actual_vo2kgml,speed_actual,grade,I.grade.2.,I.grade.3.,.fitted,.se.fit
23.11,1.11,30,900,27000,23.070272423060224,0.18021105956368844
24.73,1.11,30,900,27000,23.070272423060224,0.18021105956368844
34.03,2.05,30,900,27000,39.36959583520585,0.17494189152695638
40.08,2.05,30,900,27000,39.36959583520585,0.17494189152695638
22.96,1.11,30,900,27000,23.070272423060224,0.18021105956368844
16.34,1.11,30,900,27000,23.070272423060224,0.18021105956368844
15.58,1.11,30,900,27000,23.070272423060224,0.18021105956368844
24.22,1.11,30,900,27000,23.070272423060224,0.18021105956368844
33.43,2.05,30,900,27000,39.36959583520585,0.17494189152695638
26.98,1.11,30,900,27000,23.070272423060224,0.18021105956368844
29.73,1.11,30,900,27000,23.070272423060224,0.18021105956368844
26.05,1.11,30,900,27000,23.070272423060224,0.18021105956368844
23.87,1.11,30,900,27000,23.070272423060224,0.18021105956368844
31.77,2.05,30,900,27000,39.36959583520585,0.17494189152695638
35.72,2.05,30,900,27000,39.36959583520585,0.17494189152695638
23.61,1.11,30,900,27000,23.070272423060224,0.18021105956368844
29.85,2.05,30,900,27000,39.36959583520585,0.17494189152695638
24.09,1.11,30,900,27000,23.070272423060224,0.18021105956368844
39.58,2.05,30,900,27000,39.36959583520585,0.17494189152695638
28.48,1.11,30,900,27000,23.070272423060224,0.18021105956368844
28.57,2.05,30,900,27000,39.36959583520585,0.17494189152695638
